电影名称;上映时间;闭映时间;出品公司;导演;主角;影片类型;票房/万;评分;
《熊出没之夺宝熊兵》;2014.1.17;2014.2.23;深圳华强数字动漫有限公司;丁亮;熊大，熊二，;
《菜鸟》;2015.3.27;2015.4.12;麒麟影业公司;项华祥;柯有伦，崔允素，张艾青，刘亚鹏，张星宇;爱情/动作/喜剧;192.0 ;4.5 ;
《栀子花开》;2015.7.10;2015.8.23;世纪百年影业，文投基金，华谊兄弟，千和影业，剧角映画，合一影业等;何炅;李易峰，张慧雯，蒋劲夫，张予曦，魏大勋，李心艾，杜天皓，宋轶，王佑硕，柴格，张云龙;青春，校园，爱情;37900.8 ;4.0 ;
《我是大明星》;2015.12.20;2016.1.31;北京中艺博悦传媒;张艺飞;高天，刘波，谭皓，龙梅子;爱情 励志 喜剧;9.8 ;2.5 ;
《天将雄师》;2015.2.19;2015.4.6;耀莱文化，华谊兄弟，上海电影集团;李仁港;成龙，约翰·库萨克，阿德里安·布劳迪，崔始源 ，林鹏，王若心，筷子兄弟，西蒙子，冯绍峰，朱佳煜;动作，古装，剧情，历史;74430.2 ;5.9 ;
《简单爱》;2015.7.3;2015.7.19;中视合利（北京）文化投资有限公司一鸣影业公司（美国）;崔龄燕;许绍洋，张琳，谢雨芩，石铭熙;都市浪漫爱情喜剧;21.7 ;2.9 ;
《全能_爸》;2015.3.5;2015.3.22;河南弘星、北京弘星、杭州寰耀;董春泽;罗京民，孙波，于非，马燕，赵丽，卢思佚，米明杰，贾志;亲情励志喜剧;83.0 ;7.5 ;
《恶棍天使》;2015.12.24;2016.2.13;天津橙子映像传媒有限公司、北京光线影业有限公司;邓超、俞白眉;邓超，孙俪，梁超，代乐乐;喜剧/荒诞/爱情;64959.0 ;4.0 ;
《冲上云霄》;2015.2.19;2015.3.29;寰亚电影制作有限公司;叶伟信，邹凯光;古天乐，郑秀文，吴镇宇，张智霖，佘诗曼，郭采洁;剧情，爱情;15631.3 ;4.4 ;
《少年班》;2015.6.19;2015.7.19;工夫影业；华谊兄弟;肖洋;孙红雷，周冬雨，董子健，王栎鑫，李佳奇，夏天，王森;青春、校园、喜剧;5068.7 ;5.7 ;
《最美的时候遇见你》;2015.12.11;2015.12.27;广州遐迩文化传播有限公司;吴娜;谭松韵，罗云熙;校园，爱情，喜剧;156.2 ;5.5 ;
《百团大战》;2015.8.28;2015.10.11;八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司;宁海强，张玉中;陶泽如，刘之冰，印小天，吴越，唐国强，王伍福;战争/历史;41367.3 ;4.7 ;
《怦然星动》;2015.12.3;2016.1.10;欢瑞世纪，嘉行传媒，青春光线;陈国辉;杨幂，李易峰，陈数，王耀庆，迪丽热巴，张云龙;都市，爱情，喜剧;15973.9 ;4.3 ;
《万物生长》;2015.4.17;2015.5.24;北京劳雷影业、杭州果麦文化传媒、北京联瑞影业;李玉;范冰冰，韩庚，沙溢，吴莫愁，杨迪，齐溪，张博宇，沈婷婷，李梦，雷恪生，吕行;爱情、剧情、校园、喜剧;14831.8 ;5.8 ;
《一念天堂》;2015.12.31;2016.2.13;天河盛宴，凯德盛世（北京）投资管理有限公司，和云筹(北京)网络科技有限公司;张承;沈腾，马丽，林雪，杜晓宇，王子子，李元鹏;喜剧;8279.5 ;5.2 ;
《闯入者》;2015.4.30;2015.5.24;冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团;王小帅;吕中，秦海璐，冯远征，秦昊，石榴;剧情、犯罪;1003.6 ;7.6 ;
《一路惊喜》;2015.2.6;2015.3.8;万达影视传媒有限公司;金依萌/潘安子/章家瑞/宋迪;郭采洁，萧敬腾，赵丽颖，凤小岳，夏雨，梅婷，蓝燕，林家栋，张译，大鹏，蒋劲夫，孙艺洲，张辛苑，阚清子，刘维，乔杉;喜剧/爱情/家庭;6974.6 ;5.0 ;
《既然青春留不住》;2015.10.23;2015.11.22;杭州和润影视有限公司;田蒙;张翰，陈乔恩，王啸坤，施予斐，贾盛强，廖娟;喜剧、爱情;5020.3 ;4.5 ;
《破风》;2015.8.7;2015.9.13;恒大影视文化有限公司;林超贤;彭于晏，窦骁，崔始源，王珞丹，陈家乐，欧阳娜娜，连凯;剧情、运动、爱情;14529.1 ;7.2 ;
《浪漫天降》;2015.10.23;2015.11.8;;宁瀛;夏雨，关晓彤，邱泽;浪漫，爱情，喜剧;785.2 ;4.1 ;
《将错就错》;2015.3.5;2015.3.29;中国电影股份有限公司等;王宁;小沈阳，田亮，陈小春，熊黛林;爱情、喜剧;3937.4 ;3.8 ;
《探灵档案》;2015.3.7;2015.3.22;壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司;彭发;马浴柯，吴昕，潘粤明，王景春，莫小棋，朱雨辰，洪天明，陈国坤，刘颖仪;悬疑，惊悚;334.1 ;5.6 ;
《分手再说我爱你》;2015.12.24;2016.1.17;爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司;叶念琛;方力申，邓丽欣;爱情、剧情;1273.2 ;6.5 ;
《失孤》;2015.3.20;2015.5.3;华谊兄弟传媒集团、源合圣影视、映艺娱乐;彭三源;刘德华，井柏然，梁家辉，吴君如;剧情、社会;21617.9 ;6.4 ;
《坏蛋必须死》;2015.11.27;2015.12.20;北京新力量、华谊兄弟、南京大道行知;孙皓;陈柏霖，孙艺珍，乔振宇，申贤俊，张光，杨旭文，丁文博，朴哲民;喜剧，悬疑，旅行，爱情;4705.4 ;6.0 ;
《紫霞》;2015.12.11;2015.12.27;映代码公司;苗述;徐洁儿，袁晓超，刘承俊，洪天照，刘永健，谭赫，肖红，金晶，谢沅江;爱情，奇幻;49.1 ;2.4 ;
《爱情魔发师》;2015.7.17;2015.8.2;北京仁和博纳文化传媒有限公司;倾海;游游，张燃，朱咪咪，黄一飞，崔浩博，王子轩;喜剧 / 爱情;20.3 ;3.8 ;
《爱之初体验》;2015.8.7;2015.8.23;上海锦瑟天下影视有限公司;海涛;张超，李晓峰，张瑶，吴大维，屈菁菁，刘雅瑟，乔曦;喜剧/爱情;321.7 ;4.7 ;
《前任2：备胎反击战》;2015.11.6;2015.12.20;华谊兄弟传媒股份有限公司、新圣堂影业;田羽生;郑恺，郭采洁，张艺兴，王传君;爱情，喜剧;25200.2 ;5.0 ;
《可爱的你》;2015.3.20;2015.4.12;银都机构、寰宇娱乐、剧魔影业、精鹰传媒等;关信辉;古天乐，杨千_，姜皓文，刘玉翠;剧情;2221.7 ;7.8 ;
《不可思异》;2015.12.4;2016.1.10;星汇天姬、中影、珠影、华策影业、合肥广电;孙周;王宝强，小沈阳，大鹏，辛芷蕾;3D/科幻/喜剧/剧情;11190.9 ;3.8 ;
《一路向前》;2015.8.6;2015.8.22;深圳市华影投资有限公司;侯亮;陈赫，姚星彤，常远，张颂文，陆海涛;喜剧、爱情;571.0 ;3.6 ;
《天各一方》;2015.10.9;2015.10.25;广东广视传媒有限公司，梧州市西江在线影视传播有限公司;云山;潘辰，郑凯，苏妙玲，金丰;言情;2.9 ;5.0 ;
《魔卡行动》;2015.10.16;2015.10.31;上海华宇电影股份有限公司;姜国民;乔任梁，张馨予，任达华;动作，喜剧，爱情;282.7 ;3.4 ;
《拳霸风云》;2015.6.26;2015.7.12;中视尚影（北京）国际文化传媒有限公司;臧溪川;谷尚蔚，崔允素，杜海涛，梁家仁;动作 / 爱情 / 剧情;133.7 ;3.3 ;
《守梦者》;2015.7.24;2015.8.16;河北同华影视公司、唐山新天地公司;张力;温兆伦，连晋，张潮，林鹏;悬疑;31.3 ;5.4 ;
《大变局之梦回甲午》;2015.9.1;2015.9.20;北京金亿乾坤影视文化传媒有限公司;刘全玮;赵育莹，吴云飞，韩一菲，冯兵;剧情，爱情，战争;31.8 ;3.1 ;
《不能错过》;2015.12.10;2015.12.27;北京奇百奇文化传媒有限公司、北京国龙影业发行股份有限公司;杜奇泉、祁子轩;曾虹畅，吕卓燃，崔航，马藜，郄路通（晓凡），郑媛元，赵冉;青春、爱情、时尚;14.3 ;2.7 ;
《封门诡影》;2015.3.13;2015.4.6;北京思泽汇通影视有限公司;王孟圆;葛天 ，隋咏良，小张铎，杜语庭 ，钱思_，刘滢，屠育玮，尉迟少南，张铎;惊悚 恐怖 悬疑;2581.7 ;4.6 ;
《吉星高照2015》;2015.3.1;2015.3.22;珠江影业传媒有限公司;晴朗;王祖蓝，陈嘉桦，曾志伟，陈静，苑琼丹，温超，湛琪清，元秋，杨奇煜，黄一山，刘俊纬，黄一飞，廖亦_，田启文，冯勉恒，郑文辉，阮兆祥，刘以达，施明，古明华;爱情，喜剧;1529.7 ;3.1 ;
《枪过境》;2015.4.16;2015.5.3;北京盛世翔和国际影视文化传播有限公司;梁杰;安泽豪，方力申，王双宝，计春华，焦恩俊，闫婕;动作、悬疑、犯罪;137.0 ;5.3 ;
《兔侠之青黎传说》;2015.2.21;2015.3.15;天津北方电影集团有限公司;马元 董大可;黄磊，杨子姗，何云伟，王劲松，马元，王_波;动画;2973.5 ;6.3 ;
《小门神》;2016.1.1;2016.1.24;追光人动画设计（北京）有限公司;王微;高晓松，白客，于心怡，毕啸岚，易小星，季冠霖;剧情;7868.5 ;6.8 ;
《美人鱼》;2016.2.8;2016.3.27;中国电影股份有限公司、星辉海外有限公司、和和(上海)影业有限公司;周星驰;邓超，罗志祥，张雨绮，林允;爱情/喜剧/科幻;339212.8 ;6.8 ;
《西游记之孙悟空三打白骨精》;2016.2.8;2016.3.27;星皓影业有限公司;郑保瑞;郭富城，巩俐，冯绍峰，小沈阳，罗仲谦，陈慧琳，费翔;动作、魔幻;120101.7 ;5.7 ;
《年兽大作战》;2016.2.8;2016.3.6;东阳坏猴子影视文化传播有限公司;张扬;雷佳音，周冬雨，陈赫，陶虹，郭涛，郭子睿，刘仪伟，沈腾，张一白，王迅，郝云，谢娜，熊乃瑾;动画喜剧、奇幻冒险;3451.2 ;5.7 ;
《澳门风云3》;2016.2.8;2016.3.27;博纳影业集团;刘伟强、王晶;周润发，刘德华，张学友，张家辉，向华强，向佐，李宇春，刘嘉玲，王诗龄，余文乐;动作、冒险、喜剧;111818.8 ;4.0 ;
《卧虎藏龙：青冥宝剑》;2016.2.19;2016.4.4;韦恩斯坦国际影业公司（美国）;袁和平;甄子丹，杨紫琼，岑勇康，刘承羽，贾森·斯科特·李;武侠、动作、剧情;25625.3 ;4.7 ;
《叶问3》;2016.3.4;2016.4.17;东方电影制作有限公司;叶伟信;甄子丹，张晋，熊黛林，迈克·泰森，谭耀文;武术、动作、剧情;77028.9 ;6.3 ;
《火锅英雄》;2016.4.1;2016.5.15;新丽传媒股份有限公司、工夫影业股份有限公司、万达影视传媒有限公司等;杨庆;陈坤，白百何，秦昊，喻恩泰;剧情、动作、爱情;37054.2 ;7.2 ;
《熊出没之熊心归来》;2016.1.16;2016.2.28;深圳华强、优扬传媒、乐视影业、珠江影业、大地发行、猫眼影视;丁亮、林永长;张伟（配），张秉君（配），谭笑（配），赵肖宇（配），万丹青（配），孟雨田（配）;动画、冒险、喜剧、合家欢;28775.4 ;6.2 ;
《睡在我上铺的兄弟》;2016.4.1;2016.5.8;乐视影业;张琦;陈晓，杜天皓，刘芮麟，李现，吴优，蓝盈莹;青春、校园、爱情;12782.3 ;5.0 ;
《陆_知马俐》;2016.7.15;2016.8.21;宸铭影业、海宁壹线影视、君竹影视、华谊兄弟、旗舰影业;文章;包贝尔，宋佳，朱亚文，焦俊艳;喜剧、爱情;19206.6 ;5.3 ;
《微微一笑很倾城》;2016.8.12;2016.9.17;上海剧酷文化传播有限公司;林玉芬 ;郑爽，杨洋，毛晓彤，白宇，牛骏峰，郑业成，宋欣佳怡，秦语，张赫，崔航，张彬彬，马春瑞;纯爱、青春、偶像;27583.5 ;5.1 ;
