film,userid,score
《分手再说我爱你》 , 1344  ,  9.0
《前任2：备胎反击战》 , 1240  ,  5.7
《简单爱》 , 1102  ,  8.6
《闯入者》 , 1191  ,  8.6
《怦然星动》 , 1488  ,  8.8
《紫霞》 , 1161  ,  5.7
《天将雄师》 , 1205  ,  3.8
《坏蛋必须死》 , 1444  ,  9.2
《探灵档案》 , 1191  ,  8.9
《少年班》 , 1264  ,  4.9
《一念天堂》 , 1267  ,  8.6
《爱情魔发师》 , 1293  ,  8.3
《冲上云霄》 , 1123  ,  3.7
《天将雄师》 , 1223  ,  3.1
《破风》 , 1386  ,  7.8
《怦然星动》 , 1014  ,  3.8
《最美的时候遇见你》 , 1206  ,  8.4
《爱情魔发师》 , 1259  ,  4.2
《闯入者》 , 1084  ,  3.1
《万物生长》 , 1428  ,  8.6
《爱情魔发师》 , 1190  ,  6.1
《恶棍天使》 , 1305  ,  6.8
《天将雄师》 , 1374  ,  7.5
《冲上云霄》 , 1035  ,  4.6
《坏蛋必须死》 , 1425  ,  6.1
《一路惊喜》 , 1313  ,  8.8
《天将雄师》 , 1236  ,  8.2
《天将雄师》 , 1190  ,  7.9
《怦然星动》 , 1213  ,  3.0
《浪漫天降》 , 1104  ,  8.5
《分手再说我爱你》 , 1469  ,  8.3
《分手再说我爱你》 , 1492  ,  3.8
《一路惊喜》 , 1071  ,  6.4
《冲上云霄》 , 1268  ,  9.1
《少年班》 , 1453  ,  5.3
《浪漫天降》 , 1006  ,  5.7
《最美的时候遇见你》 , 1276  ,  6.4
《冲上云霄》 , 1100  ,  5.8
《坏蛋必须死》 , 1070  ,  5.7
《冲上云霄》 , 1274  ,  8.2
《简单爱》 , 1469  ,  9.2
《分手再说我爱你》 , 1347  ,  6.6
《万物生长》 , 1469  ,  8.2
《闯入者》 , 1491  ,  4.4
《紫霞》 , 1079  ,  9.8
《破风》 , 1035  ,  4.9
《前任2：备胎反击战》 , 1124  ,  6.8
《少年班》 , 1289  ,  6.2
《爱情魔发师》 , 1473  ,  4.9
《爱情魔发师》 , 1315  ,  7.5
《一念天堂》 , 1486  ,  7.9
《天将雄师》 , 1492  ,  9.1
《闯入者》 , 1176  ,  7.7
《破风》 , 1291  ,  9.2
《将错就错》 , 1042  ,  3.6
《坏蛋必须死》 , 1174  ,  5.9
《怦然星动》 , 1080  ,  6.8
《前任2：备胎反击战》 , 1048  ,  8.8
《一念天堂》 , 1031  ,  3.7
《一路惊喜》 , 1084  ,  7.5
《恶棍天使》 , 1374  ,  3.7
《怦然星动》 , 1486  ,  5.3
《万物生长》 , 1174  ,  3.2
《将错就错》 , 1124  ,  4.8
《爱情魔发师》 , 1198  ,  7.4
《万物生长》 , 1339  ,  7.2
《一路惊喜》 , 1117  ,  6.4
《闯入者》 , 1045  ,  9.3
《少年班》 , 1236  ,  9.4
《少年班》 , 1486  ,  7.6
《恶棍天使》 , 1129  ,  5.0
《怦然星动》 , 1318  ,  6.2
《闯入者》 , 1482  ,  4.8
《分手再说我爱你》 , 1233  ,  3.8
《分手再说我爱你》 , 1102  ,  7.2
《一念天堂》 , 1385  ,  8.4
《将错就错》 , 1241  ,  6.9
《冲上云霄》 , 1292  ,  8.8
《天将雄师》 , 1324  ,  6.0
《一念天堂》 , 1045  ,  6.1
《少年班》 , 1022  ,  6.4
《分手再说我爱你》 , 1276  ,  9.7
《坏蛋必须死》 , 1315  ,  5.0
《少年班》 , 1162  ,  4.8
《一念天堂》 , 1067  ,  9.8
《万物生长》 , 1302  ,  8.2
《万物生长》 , 1072  ,  9.9
《天将雄师》 , 1184  ,  7.2
《探灵档案》 , 1274  ,  5.7
《浪漫天降》 , 1071  ,  7.8
《坏蛋必须死》 , 1499  ,  9.7
《恶棍天使》 , 1113  ,  4.8
《探灵档案》 , 1318  ,  7.2
《探灵档案》 , 1291  ,  3.7
《简单爱》 , 1339  ,  7.5
《闯入者》 , 1231  ,  9.4
《闯入者》 , 1117  ,  9.1
《恶棍天使》 , 1114  ,  7.3
《分手再说我爱你》 , 1391  ,  7.8
《探灵档案》 , 1161  ,  8.2
《恶棍天使》 , 1395  ,  8.2
《恶棍天使》 , 1215  ,  4.8
《一路惊喜》 , 1235  ,  6.1
《冲上云霄》 , 1113  ,  8.9
《前任2：备胎反击战》 , 1407  ,  7.5
《分手再说我爱你》 , 1072  ,  5.3
《失孤》 , 1014  ,  4.1
《将错就错》 , 1486  ,  4.8
《怦然星动》 , 1468  ,  4.3
《前任2：备胎反击战》 , 1233  ,  6.7
《前任2：备胎反击战》 , 1454  ,  3.8
《浪漫天降》 , 1200  ,  8.6
《最美的时候遇见你》 , 1235  ,  6.1
《破风》 , 1014  ,  5.7
《冲上云霄》 , 1075  ,  9.3
《恶棍天使》 , 1473  ,  7.8
《分手再说我爱你》 , 1075  ,  6.2
《万物生长》 , 1418  ,  7.2
《爱情魔发师》 , 1418  ,  4.5
《一路惊喜》 , 1195  ,  7.2
《失孤》 , 1139  ,  4.4
《失孤》 , 1010  ,  5.3
《探灵档案》 , 1122  ,  5.1
《天将雄师》 , 1045  ,  6.0
《怦然星动》 , 1246  ,  4.3
《爱情魔发师》 , 1150  ,  4.8
《闯入者》 , 1395  ,  5.9
《既然青春留不住》 , 1001  ,  6.7
《简单爱》 , 1236  ,  7.6
《浪漫天降》 , 1385  ,  8.7
《最美的时候遇见你》 , 1403  ,  9.4
《天将雄师》 , 1048  ,  6.7
《最美的时候遇见你》 , 1453  ,  3.9
《将错就错》 , 1252  ,  6.4
《闯入者》 , 1079  ,  8.7
《冲上云霄》 , 1015  ,  3.6
《既然青春留不住》 , 1200  ,  3.8
《坏蛋必须死》 , 1462  ,  9.4
《万物生长》 , 1400  ,  6.8
《少年班》 , 1141  ,  8.7
《一念天堂》 , 1100  ,  3.8
《闯入者》 , 1116  ,  5.3
《怦然星动》 , 1021  ,  3.2
《最美的时候遇见你》 , 1208  ,  7.3
《紫霞》 , 1433  ,  5.2
《探灵档案》 , 1411  ,  4.8
《一路惊喜》 , 1057  ,  7.2
《分手再说我爱你》 , 1202  ,  7.3
《失孤》 , 1154  ,  5.7
《简单爱》 , 1067  ,  4.6
《破风》 , 1258  ,  4.2
《探灵档案》 , 1385  ,  3.7
《将错就错》 , 1374  ,  6.2
《紫霞》 , 1100  ,  5.7
《破风》 , 1264  ,  8.7
《怦然星动》 , 1311  ,  6.0
《浪漫天降》 , 1305  ,  4.5
《爱情魔发师》 , 1196  ,  9.1
《一路惊喜》 , 1488  ,  6.7
《冲上云霄》 , 1006  ,  5.0
《分手再说我爱你》 , 1289  ,  4.2
《简单爱》 , 1158  ,  6.2
《怦然星动》 , 1339  ,  8.6
《前任2：备胎反击战》 , 1317  ,  5.8
《最美的时候遇见你》 , 1276  ,  8.0
《闯入者》 , 1169  ,  4.4
《失孤》 , 1104  ,  6.4
《冲上云霄》 , 1315  ,  4.9
《坏蛋必须死》 , 1142  ,  6.4
《闯入者》 , 1456  ,  9.7
《浪漫天降》 , 1233  ,  5.6
《简单爱》 , 1491  ,  6.8
《冲上云霄》 , 1118  ,  5.3
《失孤》 , 1085  ,  5.8
《万物生长》 , 1110  ,  8.5
《万物生长》 , 1343  ,  4.9
《怦然星动》 , 1317  ,  7.9
《紫霞》 , 1176  ,  7.2
《怦然星动》 , 1499  ,  8.3
《前任2：备胎反击战》 , 1344  ,  4.3
《探灵档案》 , 1487  ,  6.2
《恶棍天使》 , 1403  ,  4.4
《前任2：备胎反击战》 , 1296  ,  3.1
《少年班》 , 1167  ,  5.0
《闯入者》 , 1236  ,  6.0
《爱情魔发师》 , 1250  ,  6.8
《恶棍天使》 , 1070  ,  4.2
《万物生长》 , 1080  ,  8.2
《既然青春留不住》 , 1236  ,  4.8
《一路惊喜》 , 1169  ,  8.2
《破风》 , 1216  ,  4.1
《简单爱》 , 1111  ,  9.9
《冲上云霄》 , 1113  ,  9.3
《闯入者》 , 1258  ,  5.6
《破风》 , 1476  ,  8.4
《浪漫天降》 , 1004  ,  7.2
《闯入者》 , 1167  ,  5.8
《恶棍天使》 , 1084  ,  5.2
《最美的时候遇见你》 , 1322  ,  9.2
《闯入者》 , 1012  ,  4.9
《将错就错》 , 1363  ,  7.6
《既然青春留不住》 , 1429  ,  9.4
《分手再说我爱你》 , 1188  ,  8.5
《一念天堂》 , 1174  ,  3.3
《最美的时候遇见你》 , 1072  ,  3.8
《少年班》 , 1072  ,  4.4
