排名,MovieID,电影名,周票房,总票房,本周人次,上映天数,票价均价,平均上座人数,票房环比变化,场次环比变化,观影人次环比变化,排名变化,口碑指数,票房日期,单周总票房,单周总场次,单周总人次,页面网址,当前时间
1,306285,阿丽塔：战斗天使,32340,75918,863,10,37,12,-26,76,-23,1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:45.9
2,678868,驯龙高手3,21805,22116,606,3,36,19,0,0,0,0,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
3,642412,流浪地球,17852,452299,503,27,36,10,-68,-37,-63,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
4,684562,绿皮书,11459,11570,344,3,33,20,0,0,0,0,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
5,676018,飞驰人生,4724,169407,129,27,37,6,-71,-45,-71,-1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
6,638300,疯狂的外星人,3986,218886,110,27,36,6,-76,-51,-76,-3,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
7,683172,熊出没·原始时代,975,70556,29,27,33,5,-82,-63,-81,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
8,684093,一吻定情,603,17143,17,18,37,5,-83,-69,-82,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
9,675370,朝花夕誓：于离别之朝束起约定之花,567,1663,19,10,31,4,-47,-5,-46,-1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
10,683395,新喜剧之王,429,62002,12,27,36,3,-79,-59,-78,-3,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.3
1,642412,流浪地球,56565,434447,1352,20,42,16,-68,-17,-66,9999,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.6
2,306285,阿丽塔：战斗天使,43578,43578,1125,3,39,27,0,0,0,0,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.6
