电影名称,评分,评论数,类型,地区,上映年份,总分
肖申克的救赎,9.6,692795,剧情/犯罪,美国,1994,6650832
这个杀手不太冷 ,9.4,662552,剧情/动作/犯罪,法国,1994,6227988.8
盗梦空间,9.2,642134,剧情/动作/科幻/悬疑/冒险,美国/英国,2010,5907632.8
阿甘正传,9.4,580897,剧情/爱情,美国,1994,5460431.8
三傻大闹宝莱坞,9.1,549808,剧情/喜剧/爱情/歌舞,印度,2011,5003252.8
泰坦尼克号,9.1,535491,剧情/爱情/灾难,美国,1998,4872968.1
让子弹飞,8.7,534791,剧情/喜剧/动作/西部,中国大陆/香港,2010,4652681.7
千与千寻 千と千尋の神隠,9.2,525505,剧情/动画/奇幻,日本,2001,4834646
少年派的奇幻漂流,9,489231,剧情/奇幻/冒险,美国/台湾/英国/加拿大,2012,4403079
霸王别姬,9.4,478523,剧情/爱情/同性,中国大陆/香港,1993,4498116.2
阿凡达,8.6,451523,动作/科幻/奇幻/冒险,美国/英国,2010,3883097.8
当幸福来敲门,8.9,450450,剧情/家庭/传记,美国,2008,4009005
那些年，我们一起追的女孩 那些年，我們一起追的女,8.1,443884,剧情/喜剧/爱情,台湾,2012,3595460.4
怦然心动,8.9,427162,剧情/喜剧/爱情,美国,2010,3801741.8
飞屋环游记,8.9,423327,剧情/喜剧/动画/奇幻/冒险,美国,2009,3767610.3
机器人总动员 ,9.3,421734,喜剧/爱情/科幻/动画/冒险,美国,2008,3922126.2
天使爱美丽 ,8.7,412014,喜剧/爱情,法国/德国,2001,3584521.8
剪刀手爱德华,8.7,409419,剧情/爱情/奇幻,美国,1990,3561945.3
人再囧途之泰囧,7.5,392992,喜剧,中国大陆,2012,2947440
星际穿越,9.1,380140,剧情/科幻/悬疑/家庭/冒险,美国/英国/加拿大,2014,3459274
初恋这件小事,8.3,379595,喜剧/爱情,泰国,2012,3150638.5
七宗罪,8.7,370351,剧情/悬疑/惊悚/犯罪,美国,1995,3222053.7
大话西游之大圣娶亲 西遊記大結局之仙履奇,9.1,366223,喜剧/动作/爱情/奇幻/冒险,香港/中国大陆,2014,3332629.3
楚门的世界,9,352755,剧情,美国,1998,3174795
忠犬八公的故事,9.2,352613,剧情,美国/英国,2009,3244039.6
搏击俱乐部,9,352460,剧情/动作/悬疑/惊悚,美国/德国,1999,3172140
黑天鹅,8.5,349175,剧情/惊悚,美国,2010,2967987.5
失恋3,7.4,345624,剧情/爱情,中国大陆,2011,2557617.6
贫民窟的百万富翁,8.5,345020,剧情/爱情,英国/美国,2009,2932670
龙猫 となりのトト,9.1,344318,动画/奇幻,日本,1988,3133293.8
源代码,8.3,341620,剧情/动作/科幻/惊悚/犯罪,美国/加拿大,2011,2835446
后会无期,7.2,340724,剧情/爱情,中国大陆,2014,2453212.8
V字仇杀,8.8,334758,剧情/动作/科幻/惊悚,美国/英国/德国,2005,2945870.4
本杰明·巴顿奇事,8.7,332847,剧情/爱情/奇幻,美国,2008,2895768.9
北京遇上西雅图,7.4,331619,喜剧/爱情,中国大陆/香港,2013,2453980.6
美丽人生 ,9.5,327855,剧情/喜剧/爱情,意大利,1997,3114622.5
罗马假日,8.9,321376,剧情/喜剧/爱情,美国,1953,2860246.4
蝴蝶效应,8.7,319632,剧情/科幻/悬疑/惊悚,美国/加拿大,2004,2780798.4
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶,8.9,317485,喜剧/动作/爱情/奇幻/冒险/古装,香港/中国大陆,2014,2825616.5
